,이름,팀,정렬,출장,완투,완봉,선발,승,패,세,홀드,이닝,실점,자책,타자,안타,X2타,X3타,홈런,볼넷,고4,사구,삼진,보크,폭투,자책점,비율.1,비율.2,비율.3,비율.4,WAR,WPA
2,미란다,21두,7.1,28,1,1,28,14,5,0,0,173.2,49,45,709,135,21,1,11,63,0,1,225,1,7,2.33,2.67,1.14,185,161.1,7.1,3.27
3,백정현,21삼,5.27,27,0,0,27,14,5,0,0,157.2,54,46,648,142,25,1,15,54,2,2,109,0,5,2.63,4.21,1.24,171.9,107.3,5.27,1.78
4,고영표,21K,5.23,26,1,1,25,11,6,0,1,166.2,59,54,664,147,20,2,9,27,1,14,130,0,1,2.92,3.19,1.04,154,139.2,5.23,2.27
5,켈리,21L,4.97,30,0,0,30,13,8,0,0,177,64,62,744,160,25,0,12,60,3,11,142,1,7,3.15,3.76,1.24,136.8,115.1,4.97,1.61
6,원태인,21삼,4.76,26,0,0,26,14,7,0,0,158.2,59,54,655,147,32,1,11,51,1,5,129,1,5,3.06,3.65,1.25,147.4,123.4,4.76,2.41
7,요키시,21키,4.68,31,0,0,31,16,9,0,0,181.1,71,59,739,171,24,0,12,46,2,4,131,0,9,2.93,3.54,1.2,151.4,122.4,4.68,1.62
8,뷰캐넌,21삼,4.54,30,1,1,30,16,5,0,0,177,71,61,758,173,25,4,13,59,2,2,162,0,7,3.1,3.46,1.31,145.5,130.3,4.54,1.66
9,루친스키,21N,4.5,30,0,0,30,15,10,0,0,178.2,76,63,754,160,24,1,12,55,0,10,177,2,6,3.17,3.32,1.2,143.1,135.9,4.5,1.88
10,수아레즈,21L,4.44,23,0,0,22,10,2,0,0,115.1,33,28,473,91,16,2,4,41,0,4,126,0,2,2.18,2.77,1.15,197.4,157.7,4.44,2.6
11,최원준,21두,4.16,29,0,0,29,12,4,0,0,158.1,65,58,673,160,31,4,15,37,1,10,113,0,0,3.3,4.01,1.24,130.8,107.1,4.16,1.17
14,로켓,21두,4.12,21,1,0,21,9,9,0,0,124,44,41,540,132,20,2,5,42,1,12,112,1,1,2.98,3.33,1.4,144.9,130.9,4.12,1
15,박세웅,21롯,4.01,28,1,1,28,10,9,0,0,163,75,72,685,141,24,0,20,53,0,10,125,0,17,3.98,4.55,1.19,114.3,98.1,4.01,-0.23
16,데스파이네,21K,4,33,0,0,33,13,10,0,0,188.2,81,71,819,175,30,3,10,78,0,7,165,0,15,3.39,3.62,1.34,132.6,122.7,4,0.79
17,정해영,21기,3.79,64,0,0,0,5,4,34,0,65.1,18,16,272,49,10,0,5,28,1,4,49,0,1,2.2,4.25,1.18,201.8,104.7,3.79,2.88
18,파슨스,21N,3.73,24,1,0,24,4,8,0,0,133,56,55,577,109,16,2,9,63,0,11,148,1,10,3.72,3.66,1.29,122,123.3,3.73,0.5
19,킹엄,21한,3.72,25,0,0,25,10,8,0,0,144,58,51,591,117,22,0,11,41,1,5,131,2,4,3.19,3.44,1.1,137.4,129.2,3.72,1.6
